
 idx ns                                    name                                                                         kind      result issues
 --- --                                    ----                                                                         ----      ------ ------
 233 Tekla.Structures.Dialog               Localization                                                                 class     PASS         
 614 Tekla.Structures.Drawing              HatchLine.HatchLineAttributes.Alignments                                     enum      PASS         
 496 Tekla.Structures.Drawing              PropertyElement.PropertyElementType.SectionViewLabelMarkPropertyElementTypes class     PASS         
 344 Tekla.Structures.Drawing              ColorSelection                                                               class     PASS         
 409 Tekla.Structures.Drawing              InsidePartAlongPartOrWithLeaderLinePlacingType                               class     PASS         
 321 Tekla.Structures.Drawing              CannotCreateSectionViewFrom3dView                                            class     PASS         
 479 Tekla.Structures.Drawing              PreferredTextPlacingTypes                                                    class     PASS         
 110 Tekla.Structures.Analysis             AnalysisModelIssue.TypeEnum                                                  enum      PASS         
 708 Tekla.Structures.Filtering.Categories AssemblyFilterExpressions.StartNumber                                        class     PASS         
1051 Tekla.Structures.Model                SpiralBeamDataException                                                      class     PASS         
 239 Tekla.Structures.Dialog               PluginWindowBase                                                             class     PASS         
 952 Tekla.Structures.Model                EdgeChamfer                                                                  class     PASS         
 130 Tekla.Structures.Analysis             AnalysisRestraintData.ReleaseTypeEnum                                        enum      PASS         
 463 Tekla.Structures.Drawing              Plugin                                                                       class     PASS         
 469 Tekla.Structures.Drawing              Polygon                                                                      class     PASS         
1063 Tekla.Structures.Model                WorkPlaneHandler                                                             class     PASS         
 742 Tekla.Structures.Filtering.Categories LoadFilterExpressions.Phase                                                  class     PASS         
 211 Tekla.Structures.Datatype             IDoubleDataType                                                              interface PASS         
 542 Tekla.Structures.Drawing              TeklaStructuresDrawingsApplicationException                                  class     PASS         
 785 Tekla.Structures.Filtering.Categories PartFilterExpressions.PourPhase                                              class     PASS         
 843 Tekla.Structures.Filtering.Categories TaskFilterExpressions.Completeness                                           class     PASS         
 317 Tekla.Structures.Drawing              BaseLineWithArrowAtEndPointPlacingType                                       class     PASS         
  77 Tekla.Structures.Analysis             AnalysisPosition                                                             class     PASS         
 985 Tekla.Structures.Model                ModelHandler                                                                 class     PASS         
1111 Tekla.Structures.Model                ControlLine.ControlLineColorEnum                                             enum      PASS         
1121 Tekla.Structures.Model                LoadGroup.Colors                                                             enum      PASS         
 643 Tekla.Structures.Drawing              View.VerticalLabelPosition                                                   enum      PASS         
 471 Tekla.Structures.Drawing              Polyline.PolylineAttributes                                                  class     PASS         
 940 Tekla.Structures.Model                ControlLine                                                                  class     PASS         
 705 Tekla.Structures.Filtering.Categories AssemblyFilterExpressions.PositionNumber                                     class     PASS         
 796 Tekla.Structures.Filtering.Categories PourObjectFilterExpressions.CustomNumber                                     class     PASS         
 951 Tekla.Structures.Model                DisposableToken                                                              class     PASS         
  78 Tekla.Structures.Analysis             AnalysisPartSpanningProperties                                               class     PASS         
 725 Tekla.Structures.Filtering.Categories ComponentFilterExpressions.CustomString                                      class     PASS         
 102 Tekla.Structures.Analysis             AnalysisModel.AxisLocationEnum                                               enum      PASS         
 429 Tekla.Structures.Drawing              LinkAttributes                                                               class     PASS         
 949 Tekla.Structures.Model                DeformingData                                                                class     PASS         
 828 Tekla.Structures.Filtering.Categories ReinforcingBarFilterExpressions.Phase                                        class     PASS         
 452 Tekla.Structures.Drawing              PickerInputObjectAndAPoint                                                   class     PASS         
 109 Tekla.Structures.Analysis             AnalysisObject.AnalysisObjectEnum                                            enum      PASS         
1256 Tekla.Structures.Model.UI             Mesh                                                                         class     PASS         
1017 Tekla.Structures.Model                RebarCranking                                                                class     PASS         
1140 Tekla.Structures.Model                RebarGroup.RebarGroupStirrupTypeEnum                                         enum      PASS         
 521 Tekla.Structures.Drawing              ReportTemplateElement                                                        class     PASS         
1158 Tekla.Structures.Model                RebarSpacingZone.LengthEnum                                                  enum      PASS         
 556 Tekla.Structures.Drawing              View.ViewMarkTagsAttributes                                                  class     PASS         
1013 Tekla.Structures.Model                ProjectInfo                                                                  class     PASS         
 633 Tekla.Structures.Drawing              SectionMarkBase.SectionMarkTagAttributes.TagTextRotation                     enum      PASS         
 128 Tekla.Structures.Analysis             AnalysisPartPositionProperties.LongitudinalOffsetEnum                        enum      PASS         
 625 Tekla.Structures.Drawing              ReinforcementBase.HookedEndSymbolTypes                                       enum      PASS         



